Ano;Município;"UF do Município";"Codigo SH4";"Descrição SH4";País;"Valor FOB (US$)"
2020;"Jataí - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Eslovênia;9534151
2020;"Luziânia - GO";Goiás;1201;"Soja, mesmo triturada";"Taiwan (Formosa)";9459401
2020;"Luziânia - GO";Goiás;1507;"Óleo de soja e respectivas fracções, mesmo refinados, mas não quimicamente modificados";Chile;9399804
2020;"Senador Canedo - GO";Goiás;4104;"Couros e peles curtidos ou em crosta, de bovinos (incluindo os búfalos) ou de equídeos, depilados, mesmo divididos, mas não preparados de outro modo";Itália;9371540
2020;"Catalão - GO";Goiás;8424;"Aparelhos mecânicos (mesmo manuais) para projectar, dispersar ou pulverizar líquidos ou pós; extintores, mesmo carregados; pistolas aerográficas e aparelhos semelhantes; máquinas e aparelhos de jacto de areia, de jacto de vapor e aparelhos de jacto semelh";Ucrânia;9298879
2020;"Rio Verde - GO";Goiás;1201;"Soja, mesmo triturada";Vietnã;9294298
2020;"Pires do Rio - GO";Goiás;0207;"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105";"Hong Kong";9179998
2020;"São Simão - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Tailândia;9013428
2020;"Quirinópolis - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";Nigéria;8901544
2020;"Itumbiara - GO";Goiás;4107;"Couros preparados após curtimenta ou após secagem e couros e peles apergaminhados, de bovinos (incluindo os búfalos) ou de equídeos, depilados, mesmo divididos, exceto os da posição 4114";China;8862222
2020;"Barro Alto - GO";Goiás;7202;Ferro-ligas;"Países Baixos (Holanda)";8536019
2020;"Luziânia - GO";Goiás;1201;"Soja, mesmo triturada";Japão;8325691
2020;"Jataí - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Irã;8320686
2020;"Trindade - GO";Goiás;4104;"Couros e peles curtidos ou em crosta, de bovinos (incluindo os búfalos) ou de equídeos, depilados, mesmo divididos, mas não preparados de outro modo";China;8287535
2020;"Trindade - GO";Goiás;4104;"Couros e peles curtidos ou em crosta, de bovinos (incluindo os búfalos) ou de equídeos, depilados, mesmo divididos, mas não preparados de outro modo";Itália;8165229
2020;"Goiânia - GO";Goiás;0201;"Carnes de animais da espécie bovina, frescas ou refrigeradas";Argélia;8117794
2020;"Jataí - GO";Goiás;1005;Milho;"Coreia do Sul";7985582
2020;"Jataí - GO";Goiás;1201;"Soja, mesmo triturada";"Taiwan (Formosa)";7908752
2020;"Edéia - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";Marrocos;7895052
2020;"Anápolis - GO";Goiás;3002;"Sangue humano; sangue animal preparado para usos terapêuticos, profilácticos ou de diagnóstico; anti-soros, outras fracções do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (e";Suíça;7862200
